encounter,level,win_rate,avg_rounds,avg_deaths,avg_hp_pct_on_win,timeouts,n
t6_brute,3,0.250,11.10,5.21,0.397,0,80
t6_brute,4,0.350,10.32,4.79,0.444,0,80
t6_brute,5,0.575,10.11,3.88,0.506,0,80
t6_brute,6,0.575,9.43,3.80,0.507,0,80
t6_brute,7,0.662,8.87,3.08,0.526,0,80
t6_brute,8,0.838,8.04,2.19,0.600,0,80
t6_brute,9,0.800,7.69,2.41,0.564,0,80
t6_brute,10,0.950,7.58,1.85,0.592,0,80
t6_skirmisher,1,0.000,0.00,6.00,0.000,0,80
t6_skirmisher,2,0.000,0.00,6.00,0.000,0,80
t6_skirmisher,3,0.000,0.00,6.00,0.000,0,80
t6_skirmisher,4,0.000,0.00,6.00,0.000,0,80
t6_skirmisher,5,0.000,0.00,6.00,0.000,0,80
t6_skirmisher,6,0.000,0.00,6.00,0.000,0,80
t6_skirmisher,7,0.000,0.00,6.00,0.000,0,80
t6_skirmisher,8,0.000,0.00,6.00,0.000,0,80
t6_skirmisher,9,0.025,11.00,5.91,0.402,0,80
t6_skirmisher,10,0.025,10.00,5.90,0.449,0,80
t6_swarm,1,0.000,0.00,6.00,0.000,0,80
t6_swarm,2,0.000,0.00,6.00,0.000,0,80
t6_swarm,3,0.000,0.00,6.00,0.000,0,80
t6_swarm,4,0.013,10.00,5.99,0.073,0,80
t6_swarm,5,0.000,0.00,6.00,0.000,0,80
t6_swarm,6,0.013,6.00,5.94,0.531,0,80
t6_swarm,7,0.087,6.29,5.59,0.464,0,80
t6_swarm,8,0.163,5.69,5.42,0.317,0,80
t6_swarm,9,0.200,5.75,5.17,0.344,0,80
t6_swarm,10,0.175,6.14,5.31,0.341,0,80
t6_ailment,1,0.037,5.33,5.90,0.328,0,80
t6_ailment,2,0.100,6.62,5.69,0.474,0,80
t6_ailment,3,0.113,5.56,5.61,0.473,0,80
t6_ailment,4,0.225,5.17,5.19,0.494,0,80
t6_ailment,5,0.400,5.53,4.62,0.458,0,80
t6_ailment,6,0.463,5.54,4.38,0.452,0,80
